"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Puyo Puyo Champions - ぷよぷよ eスポーツ","0","0","11","0","0.97","0.97","0.09","0.08","11.1","0.94","0.44","60","0.47","2019-05-07","971620"
"Wolf's Fury","0","0","5","0","3.39","3.39","0.68","N/A","0.0","0.00","0.62","5","1.18","2019-05-06","619270"
"Sakura MMO 2","0","0","6","0","1.25","1.25","0.21","0.16","23.8","0.45","3.50","40","0.55","2019-05-06","968950"
"Swag and Sorcery","0","0","6","0","0.32","0.32","0.05","0.06","-20.0","0.14","0.09","157","0.13","2019-05-04","929010"
"Deuterium Wars","0","0","8","0","1.62","1.62","0.20","0.13","35.0","2.73","4.99","20","0.70","2019-05-04","455300"
"東方幕華祭 春雪篇 ～ Fantastic Danmaku Festival Part II","0","0","11","0","0.74","0.74","0.07","0.08","-14.3","0.07","0.52","76","0.37","2019-05-03","1031480"
"Thea 2: The Shattering","0","0","9","0","0.67","0.67","0.07","N/A","0.0","0.11","4.57","91","0.30","2019-05-03","606230"
"祈風 Inorikaze","0","0","10","0","0.78","0.78","0.08","0.18","-125.0","1.10","0.41","36","0.35","2019-05-02","992740"
"Blue Crystal","0","0","10","0","2.12","2.12","0.21","N/A","0.0","0.27","0.55","2","0.55","2019-05-01","556200"
"Satanist","0","0","5","0","0.33","0.33","0.07","0.04","42.9","0.05","0.03","233","0.18","2019-04-30","480780"
"Silent Gentleman","0","0","10","0","0.80","0.80","0.08","0.33","-312.5","0.34","0.10","14","0.35","2019-04-29","636360"
"Don't Escape: 4 Days to Survive","0","0","8","0","1.03","1.03","0.13","0.21","-61.5","2.24","22.10","36","0.45","2019-04-29","611760"
"Deck of Ashes","0","0","15","0","0.70","0.70","0.05","0.07","-40.0","2.51","0.89","50","0.35","2019-04-29","1016730"
"CryoFall","0","0","5","0","0.33","0.33","0.07","0.13","-85.7","0.33","0.22","69","0.18","2019-04-26","829590"
"Mortal Kombat 11","0","0","13","0","0.90","0.90","0.07","0.08","-14.3","0.06","0.28","1164","0.43","2019-04-26","976310"
"The World Next Door","0","0","15","0","1.35","1.35","0.09","0.15","-66.7","1.43","9.20","21","0.63","2019-04-26","755470"
"Lorelai","0","0","7","0","0.79","0.79","0.11","0.16","-45.5","3.94","0.89","33","0.38","2019-04-26","593960"
"Whispers of a Machine","0","0","7","0","0.48","0.48","0.07","0.05","28.6","0.49","1.23","30","0.24","2019-04-26","631570"
"VVVVVV","0","0","6","0","0.26","0.26","0.04","0.03","25.0","0.04","0.03","645","0.10","2019-04-25","70300"
"Super Hexagon","0","0","6","0","0.34","0.34","0.06","0.04","33.3","0.03","0.03","416","0.16","2019-04-25","221640"
"Bitlogic","0","0","5","0","0.84","0.84","0.17","N/A","0.0","0.41","1.15","13","0.44","2019-04-25","555340"
"Imperator: Rome","0","0","8","0","0.51","0.51","0.06","0.05","16.7","0.06","0.29","366","0.21","2019-04-25","859580"
"Fell Seal: Arbiter's Mark","0","0","15","0","0.70","0.70","0.05","0.08","-60.0","0.23","0.82","97","0.35","2019-04-24","699170"
"Dude Simulator 2","0","0","5","0","0.30","0.30","0.06","0.04","33.3","0.03","0.03","4550","0.16","2019-04-24","825310"
"Winged Sakura: Mindy's Arc 2","0","0","6","0","1.05","1.05","0.18","0.29","-61.1","0.97","1.93","31","0.47","2019-04-24","361790"
"Girl and Goblin","0","0","5","0","0.71","0.71","0.14","0.11","21.4","0.05","0.04","68","0.37","2019-04-24","880510"
"BlackSoul Extended Edition","0","0","6","0","0.28","0.28","0.05","0.03","40.0","0.03","0.03","3256","0.13","2019-04-23","264480"
"Hentai Girl Karen","0","0","5","0","0.63","0.63","0.13","0.16","-23.1","0.05","0.66","97","0.34","2019-04-22","1004240"
"Outward","0","0","6","0","0.33","0.33","0.06","0.06","0.0","0.09","0.06","248","0.16","2019-04-22","794260"
"WARRIORS ALL-STARS","0","0","13","0","1.12","1.12","0.09","0.08","11.1","0.38","0.86","30","0.55","2019-04-22","610190"
"Bottle: Pilgrim","0","0","5","0","0.60","0.60","0.12","N/A","0.0","0.35","0.61","35","0.31","2019-04-20","735350"
"Tales of a Spymaster","0","0","8","0","1.62","1.62","0.20","N/A","0.0","0.00","0.36","8","0.70","2019-04-19","530110"
"Wet Girl","0","0","5","0","0.49","0.49","0.10","0.07","30.0","0.08","0.06","220","0.26","2019-04-19","1008710"
"Courier of the Crypts","0","0","6","0","1.47","1.47","0.25","0.22","12.0","0.40","2.08","12","0.65","2019-04-18","362940"
"The Experiment: Escape Room","0","0","5","0","0.40","0.40","0.08","0.27","-237.5","0.85","0.25","45","0.21","2019-04-18","977570"
"Hypnospace Outlaw","0","0","5","0","0.46","0.46","0.09","0.23","-155.6","0.56","0.12","54","0.23","2019-04-17","844590"
"Code 7: A Story-Driven Hacking Adventure","0","0","6","0","0.73","0.73","0.12","N/A","0.0","1.70","3.17","27","0.31","2019-04-17","650570"
"Feudal Alloy","0","0","10","0","0.85","0.85","0.09","0.09","0.0","1.03","1.83","18","0.39","2019-04-15","699670"
"How To Date A Magical Girl!","0","0","12","0","1.12","1.12","0.09","0.08","11.1","0.05","1.04","36","0.47","2019-04-14","881560"
"SACRALITH : The Archer`s Tale","0","0","5","0","0.62","0.62","0.12","N/A","0.0","0.21","0.62","29","0.31","2019-04-13","704360"
"Anno 1800","0","0","9","0","1.04","1.04","0.12","0.11","8.3","0.10","0.33","203","0.52","2019-04-13","916440"
"Dark Grim Mariupolis","0","0","7","0","0.85","0.85","0.12","0.16","-33.3","0.66","0.07","34","0.42","2019-04-13","597730"
