"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Vecitas","0","0","7","0","0.28","0.28","0.04","0.23","-475.0","0.05","0.05","420","0.14","2017-04-12","555830"
"#Archery","0","0","5","0","1.48","1.48","0.30","N/A","0.0","0.20","0.38","21","0.78","2017-04-11","493790"
"Planescape: Torment: Enhanced Edition","0","0","8","0","0.53","0.53","0.07","0.09","-28.6","0.06","0.08","187","0.24","2017-04-11","466300"
"Cosmic Star Heroine","0","0","9","0","0.46","0.46","0.05","0.06","-20.0","0.06","0.17","110","0.22","2017-04-11","256460"
"Rhythm Rush!","0","0","12","0","0.41","0.41","0.03","0.02","33.3","0.11","0.03","1278","0.16","2017-04-11","614030"
"Geneshift: Battle Royale Turbo","0","0","10","0","0.30","0.30","0.03","0.02","33.3","0.05","0.05","11877","0.13","2017-04-11","308600"
"Cucumber Blues","0","0","5","0","0.29","0.29","0.06","0.04","33.3","0.16","0.03","277","0.16","2017-04-11","617240"
"Chronicles of a Dark Lord: Tides of Fate Remastered","0","0","5","0","0.45","0.45","0.09","0.09","0.0","0.45","0.10","35","0.23","2017-04-11","603080"
"ONRAID","0","0","9","0","1.23","1.23","0.14","0.11","21.4","0.16","0.41","16","0.61","2017-04-11","511800"
"Invicta Beam","0","0","5","0","2.84","2.84","0.57","N/A","0.0","0.24","17.51","21","1.49","2017-04-11","611690"
"Cluckles' Adventure","0","0","10","0","1.72","1.72","0.17","N/A","0.0","5.79","1.82","17","0.74","2017-04-11","605250"
"Bayonetta","0","0","10","0","0.73","0.73","0.07","0.05","28.6","0.05","0.09","605","0.30","2017-04-11","460790"
"Crawl","0","0","6","0","0.55","0.55","0.09","0.09","0.0","0.05","0.05","108","0.23","2017-04-11","293780"
"Spark the Electric Jester","0","0","7","0","0.59","0.59","0.08","0.26","-225.0","0.49","1.06","36","0.28","2017-04-11","601810"
"Basketball Babe VR","0","0","6","0","1.32","1.32","0.22","0.38","-72.7","4.35","0.06","23","0.57","2017-04-10","528990"
"Oh My Godheads","0","0","6","0","0.69","0.69","0.12","N/A","0.0","1.87","1.48","13","0.31","2017-04-10","522740"
"Getaway Island","0","0","9","0","1.02","1.02","0.11","N/A","0.0","2.76","0.82","16","0.48","2017-04-10","605190"
"Happy Campers","0","0","5","0","0.59","0.59","0.12","0.29","-141.7","0.19","1.95","21","0.31","2017-04-10","603120"
"The Signal From Tölva","0","0","6","0","0.36","0.36","0.06","0.05","16.7","0.05","0.08","117","0.16","2017-04-10","457760"
"Dead Days","0","0","6","0","0.78","0.78","0.13","0.65","-400.0","1.85","0.36","30","0.34","2017-04-09","613200"
"Trickshot","0","0","5","0","3.96","3.96","0.79","1.30","-64.6","0.00","0.00","4","1.37","2017-04-09","538510"
"Duck Hunting","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.05","1771","0.13","2017-04-09","619330"
"Sweet fantasy","0","0","6","0","0.68","0.68","0.11","0.09","18.2","0.59","0.04","49","0.29","2017-04-09","612110"
"VR Chair Games","0","0","7","0","0.49","0.49","0.07","0.04","42.9","0.30","0.15","21","0.24","2017-04-08","605110"
"One Dog Story","0","0","5","0","0.27","0.27","0.05","0.04","20.0","0.06","0.03","70","0.13","2017-04-08","588110"
"Eight Mini Racers","0","0","6","0","0.26","0.26","0.04","0.03","25.0","0.03","0.03","180","0.10","2017-04-08","434890"
"Agricola: All Creatures Big and Small","0","0","5","0","0.35","0.35","0.07","0.19","-171.4","0.04","0.04","53","0.18","2017-04-08","528180"
"AirMech® Command","0","0","7","0","1.03","1.03","0.15","0.33","-120.0","0.23","1.39","17","0.52","2017-04-08","364630"
"Fields XY","0","0","5","0","0.30","0.30","0.06","0.04","33.3","0.09","0.03","826","0.16","2017-04-07","552900"
"Unexpected Day","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","258","0.13","2017-04-07","587590"
"BADASS","0","0","5","0","0.76","0.76","0.15","0.20","-33.3","0.10","0.48","31","0.39","2017-04-07","588920"
"Varenje","0","0","5","0","0.60","0.60","0.12","0.13","-8.3","0.05","0.04","39","0.31","2017-04-07","460060"
"Zen Garden","0","0","9","0","1.49","1.49","0.17","0.13","23.5","0.03","4.53","56","0.74","2017-04-07","592660"
"Bulletstorm: Full Clip Edition","0","0","7","0","0.41","0.41","0.06","0.04","33.3","0.05","0.05","172","0.21","2017-04-07","501590"
"Galactic Keep","0","0","9","0","3.73","3.73","0.41","0.77","-87.8","0.36","29.51","2","0.71","2017-04-07","587440"
"Rezrog","0","0","7","0","0.42","0.42","0.06","0.05","16.7","0.39","0.27","45","0.21","2017-04-07","548370"
"Your Friend Hana","0","0","5","0","0.66","0.66","0.13","0.16","-23.1","0.74","0.29","50","0.34","2017-04-07","610810"
"BULLET SOUL","0","0","8","0","0.84","0.84","0.10","0.14","-40.0","3.82","1.08","20","0.35","2017-04-07","544580"
"Cannons-Defenders: Steam Edition","0","0","5","0","0.32","0.32","0.06","0.03","50.0","0.04","0.04","115","0.16","2017-04-07","617710"
"FootRock 2","0","0","5","0","0.28","0.28","0.06","0.03","50.0","0.03","0.03","107","0.16","2017-04-07","576740"
"Whispers: Last Hope","0","0","5","0","0.29","0.29","0.06","0.04","33.3","0.03","0.03","29","0.16","2017-04-07","581700"
"White Noise 2","0","0","9","0","0.46","0.46","0.05","0.03","40.0","0.04","0.04","143","0.22","2017-04-06","503350"
"Survival Driver","0","0","6","0","0.25","0.25","0.04","0.02","50.0","0.03","0.04","842","0.10","2017-04-06","586130"
"Warstone TD","0","0","5","0","0.38","0.38","0.08","0.07","12.5","0.10","0.06","54","0.21","2017-04-06","562500"
"Slug Blast","0","0","5","0","0.44","0.44","0.09","0.04","55.6","0.03","0.03","16","0.23","2017-04-06","618540"
"Lil Tanks","0","0","6","0","0.42","0.42","0.07","0.12","-71.4","0.85","0.34","21","0.18","2017-04-06","495820"
"Tank Assault X","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","87","0.13","2017-04-06","585970"
"Mr Shifty","0","0","5","0","0.27","0.27","0.05","0.04","20.0","0.04","0.03","120","0.13","2017-04-06","489140"
"Flamel's miracle（弗拉梅尔的奇迹）","0","0","7","0","0.70","0.70","0.10","0.11","-10.0","0.07","1.65","162","0.35","2017-04-05","599480"
"Shovel Knight: Specter of Torment","0","0","5","0","1.06","1.06","0.21","0.23","-9.5","0.37","2.00","30","0.55","2017-04-05","589510"
"N0-EXIT","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","156","0.13","2017-04-05","503430"
"Black River","0","0","5","0","0.57","0.57","0.11","N/A","0.0","0.76","0.10","14","0.29","2017-04-05","585090"
"Stardrift Nomads","0","0","9","0","1.57","1.57","0.17","N/A","0.0","38.50","0.27","6","0.74","2017-04-05","381250"
"Payroll","0","0","9","0","0.78","0.78","0.09","0.09","0.0","0.22","2.27","11","0.39","2017-04-04","548500"
"Swarm Universe","0","0","5","0","0.45","0.45","0.09","0.08","11.1","0.21","0.14","18","0.23","2017-04-04","407110"
"FlatOut 4: Total Insanity","0","0","9","0","0.57","0.57","0.06","0.04","33.3","0.06","0.08","90","0.26","2017-04-04","402130"
"Arcade Tale","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","223","0.13","2017-04-04","618030"
"Ripple","0","0","6","0","1.00","1.00","0.17","0.08","52.9","0.04","0.38","16","0.44","2017-04-04","601240"
"Scribble Ships","0","0","5","0","0.34","0.34","0.07","0.08","-14.3","0.16","0.13","34","0.18","2017-04-04","548130"
"PlanCon: Space Conflict","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.09","0.58","43","0.17","2017-04-04","461940"
"Snowflake's Chance","0","0","8","0","0.89","0.89","0.11","N/A","0.0","21.83","2.39","19","0.38","2017-04-04","582370"
"Quantic Pinball","0","0","7","0","2.95","2.95","0.42","N/A","0.0","4.95","0.07","7","1.46","2017-04-04","577320"
"Zup! Zero","0","0","5","0","0.82","0.82","0.16","0.15","6.3","0.29","1.59","110","0.42","2017-04-04","610360"
"Jumps","0","0","5","0","0.30","0.30","0.06","0.33","-450.0","0.03","0.07","186","0.16","2017-04-04","544310"
"Starfighter Origins","0","0","10","0","1.27","1.27","0.13","N/A","0.0","3.04","1.00","10","0.57","2017-04-03","564950"
"Yooka-Laylee","0","0","8","0","0.35","0.35","0.04","0.03","25.0","0.06","0.05","406","0.14","2017-04-03","360830"
"Feral Fury","0","0","5","0","0.35","0.35","0.07","5.99","-8,457.1","0.39","0.05","34","0.18","2017-04-03","542660"
"Future Unfolding","0","0","6","0","0.57","0.57","0.10","0.46","-360.0","0.50","5.45","48","0.26","2017-04-02","539340"
"Dark Passenger","0","0","5","0","0.29","0.29","0.06","0.03","50.0","0.03","0.10","149","0.16","2017-04-02","611140"
"Mad Dagger","0","0","5","0","0.25","0.25","0.05","0.04","20.0","0.03","0.03","238","0.13","2017-04-02","608390"
"Hover Hazard","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","135","0.13","2017-04-02","545470"
"Hero Barrier","0","0","5","0","0.47","0.47","0.09","0.06","33.3","0.08","0.15","24","0.23","2017-04-02","580560"
"Elsewhere High: Chapter 1 - A Visual Novel","0","0","5","0","2.77","2.77","0.55","0.18","67.3","99.81","0.43","19","1.43","2017-04-01","587570"
"Idle Evolution","0","0","5","0","0.84","0.84","0.17","0.10","41.2","0.33","0.79","26","0.44","2017-04-01","577730"
"15 defense","0","0","5","0","0.31","0.31","0.06","0.04","33.3","0.03","0.03","123","0.16","2017-04-01","599090"
"RoboMatch","0","0","6","0","0.26","0.26","0.04","0.02","50.0","0.03","0.03","103","0.10","2017-04-01","600210"
"Catch a Lover","0","0","8","0","0.82","0.82","0.10","0.25","-150.0","1.18","0.04","35","0.35","2017-04-01","589320"
"Planet of Mubu","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","237","0.13","2017-04-01","602170"
"Spaceship Looter","0","0","8","0","0.40","0.40","0.05","0.04","20.0","0.03","0.04","72","0.17","2017-04-01","600630"
"Neighboring Islands","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","292","0.13","2017-04-01","588710"
"Tethered","0","0","5","0","0.42","0.42","0.08","0.06","25.0","0.34","2.26","44","0.21","2017-04-01","431120"
"! That Bastard Is Trying To Steal Our Gold !","0","0","5","0","0.64","0.64","0.13","0.18","-38.5","0.03","0.03","173","0.34","2017-04-01","449940"
"Tales of Destruction","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","354","0.13","2017-04-01","486480"
"Beat Cop","0","0","5","0","0.36","0.36","0.07","0.05","28.6","0.07","0.05","156","0.18","2017-03-31","461950"
"Herald: An Interactive Period Drama","0","0","13","0","1.22","1.22","0.09","N/A","0.0","3.43","0.35","18","0.55","2017-03-31","380810"
"Death Road to Canada","0","0","15","0","0.59","0.59","0.04","0.03","25.0","0.17","0.05","271","0.28","2017-03-31","252610"
"State of Anarchy Complete: Master of Mayhem","0","0","10","0","0.31","0.31","0.03","0.02","33.3","0.03","0.03","1911","0.13","2017-03-31","576130"
"Riders of Asgard","0","0","10","0","1.08","1.08","0.11","0.36","-227.3","2.04","0.42","19","0.48","2017-03-31","552370"
"Nash Racing","0","0","10","0","0.36","0.36","0.04","0.02","50.0","0.03","0.03","269","0.17","2017-03-31","581200"
"Has-Been Heroes","0","0","9","0","0.44","0.44","0.05","0.12","-140.0","0.24","0.06","123","0.22","2017-03-31","492290"
"Infinite Tanks","0","0","11","0","0.93","0.93","0.08","0.60","-650.0","0.96","2.80","20","0.42","2017-03-31","543180"
"Narcosis","0","0","6","0","0.48","0.48","0.08","0.07","12.5","0.14","0.74","56","0.21","2017-03-31","366870"
"Finnish Roller","0","0","6","0","0.25","0.25","0.04","0.03","25.0","0.03","0.03","1900","0.10","2017-03-31","585560"
"Moriarty: Endgame VR","0","0","6","0","0.52","0.52","0.09","0.16","-77.8","0.18","0.36","15","0.23","2017-03-31","611050"
"Macbat 64","0","0","5","0","0.53","0.53","0.11","0.43","-290.9","1.58","5.34","11","0.29","2017-03-30","568040"
"Mighty Party","0","0","5","0","0.35","0.35","0.07","0.10","-42.9","0.12","0.06","161","0.18","2017-03-30","575720"
"Keyboard Killer","0","0","5","0","0.31","0.31","0.06","0.03","50.0","0.03","0.03","137","0.16","2017-03-30","613250"
"Meganoid","0","0","6","0","1.65","1.65","0.27","N/A","0.0","0.69","0.18","10","0.70","2017-03-30","606030"
"CLANNAD","0","0","7","0","1.07","1.07","0.15","0.11","26.7","0.19","0.67","75","0.52","2017-03-30","324160"
"Miniature Garden","0","0","5","0","0.80","0.80","0.16","0.23","-43.8","1.29","0.99","32","0.42","2017-03-30","494170"
"Elven Legend","0","0","8","0","2.08","2.08","0.26","0.28","-7.7","161.05","0.26","10","0.90","2017-03-30","593410"
"Putty Pals","0","0","5","0","0.51","0.51","0.10","N/A","0.0","6.34","0.33","25","0.26","2017-03-30","489110"
"Thimbleweed Park","0","0","8","0","0.65","0.65","0.08","0.05","37.5","0.11","0.20","175","0.28","2017-03-30","569860"
"Orbiz","0","0","6","0","0.95","0.95","0.16","0.19","-18.8","0.51","2.05","23","0.42","2017-03-30","572480"
"Babylon 2055 Pinball","0","0","7","0","0.88","0.88","0.13","N/A","0.0","2.94","0.08","19","0.45","2017-03-30","458500"
"Phantom Soldier","0","0","5","0","0.31","0.31","0.06","0.04","33.3","0.03","0.03","129","0.16","2017-03-30","610930"
"Devade","0","0","5","0","0.51","0.51","0.10","0.18","-80.0","0.32","0.05","28","0.26","2017-03-29","614900"
"JOLT: Super Robot Racer","0","0","5","0","0.41","0.41","0.08","0.04","50.0","0.25","0.06","26","0.21","2017-03-29","485790"
"Brave Furries","0","0","5","0","0.32","0.32","0.06","0.05","16.7","0.03","0.03","165","0.16","2017-03-29","355280"
"Frisky Business","0","0","8","0","0.32","0.32","0.04","0.03","25.0","0.03","0.03","1817","0.14","2017-03-29","588240"
"Loot Rascals","0","0","10","0","0.48","0.48","0.05","0.03","40.0","0.12","0.06","152","0.22","2017-03-29","443880"
"The Secret Order 5: The Buried Kingdom","0","0","5","0","0.74","0.74","0.15","0.17","-13.3","0.06","0.08","41","0.39","2017-03-29","574260"
"HackyZack","0","0","7","0","0.29","0.29","0.04","0.03","25.0","0.03","0.05","335","0.14","2017-03-29","508530"
"VR Journey","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","110","0.13","2017-03-29","527540"
"Snake Pass","0","0","6","0","0.26","0.26","0.04","0.04","0.0","0.05","0.03","210","0.10","2017-03-29","544330"
"Rigor Mortis","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.04","0.03","202","0.13","2017-03-28","605510"
"VALIANT KNIGHTS Typing Battle","0","0","6","0","0.68","0.68","0.11","N/A","0.0","0.58","0.62","21","0.29","2017-03-28","612810"
"Oik 2","0","0","6","0","0.66","0.66","0.11","0.08","27.3","0.68","0.05","32","0.29","2017-03-28","611980"
"Think To Die 3","0","0","7","0","0.82","0.82","0.12","0.17","-41.7","1.04","0.04","15","0.42","2017-03-28","611320"
"Rivals of Aether","0","0","8","0","0.33","0.33","0.04","0.04","0.0","0.10","0.08","186","0.14","2017-03-28","383980"
"An Alien with a Magnet","0","0","8","0","0.41","0.41","0.05","0.03","40.0","0.14","0.03","68","0.17","2017-03-27","390620"
"1166","0","0","7","0","0.48","0.48","0.07","0.23","-228.6","0.60","0.04","29","0.24","2017-03-27","581810"
"Divine Ascent","0","0","7","0","0.43","0.43","0.06","0.04","33.3","2.76","1.22","28","0.21","2017-03-27","606300"
"Operation Abyss: New Tokyo Legacy","0","0","10","0","0.72","0.72","0.07","583.17","-833,000.0","0.12","0.78","39","0.30","2017-03-27","541450"
"Rush Rover","0","0","5","0","0.62","0.62","0.12","0.19","-58.3","25.12","0.34","29","0.31","2017-03-27","438320"
"Majotori","0","0","6","0","0.82","0.82","0.14","0.24","-71.4","0.20","0.05","37","0.37","2017-03-26","588730"
"The Butterfly Sign: Human Error","0","0","7","0","0.26","0.26","0.04","0.02","50.0","0.03","0.03","1540","0.14","2017-03-26","555260"
"Rest House","0","0","5","0","0.26","0.26","0.05","0.04","20.0","0.03","0.03","154","0.13","2017-03-26","582290"
"Midnight's Blessing","0","0","5","0","0.49","0.49","0.10","0.06","40.0","0.15","0.05","25","0.26","2017-03-25","370640"
"Out of the Park Baseball 18","0","0","6","0","0.35","0.35","0.06","0.06","0.0","0.06","0.08","105","0.16","2017-03-25","465650"
"MechDefender","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","1645","0.13","2017-03-25","562730"
"Henry The Hamster Handler VR","0","0","5","0","0.38","0.38","0.08","0.09","-12.5","0.34","0.13","21","0.21","2017-03-25","566880"
"Popap","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.09","0.11","67","0.13","2017-03-25","607680"
"Dungeon Creepster","0","0","5","0","0.32","0.32","0.06","0.04","33.3","0.03","0.03","78","0.16","2017-03-25","598470"
"A Timely Intervention","0","0","5","0","0.51","0.51","0.10","0.26","-160.0","0.09","0.12","28","0.26","2017-03-25","461340"
"Final Theosis","0","0","10","0","0.47","0.47","0.05","0.05","0.0","0.32","0.03","43","0.22","2017-03-24","576020"
"Grass Cutter","0","0","7","0","0.28","0.28","0.04","0.03","25.0","0.04","0.03","423","0.14","2017-03-24","589420"
"News Tycoon","0","0","8","0","0.47","0.47","0.06","0.98","-1,533.3","0.29","1.31","32","0.21","2017-03-24","581220"
"Demonheart","0","0","5","0","0.85","0.85","0.17","0.20","-17.6","1.05","0.18","55","0.44","2017-03-24","578900"
"Shadows 2: Perfidia","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","2627","0.13","2017-03-24","606330"
"Glass Masquerade","0","0","5","0","0.28","0.28","0.06","0.03","50.0","0.03","0.03","327","0.16","2017-03-24","511470"
"TechWars: Global Conflict","0","0","6","0","0.66","0.66","0.11","0.26","-136.4","0.10","0.09","22","0.29","2017-03-24","523740"
"Vikings - Wolves of Midgard","0","0","6","0","0.47","0.47","0.08","0.10","-25.0","0.06","0.35","183","0.21","2017-03-24","404590"
"Zero Escape: The Nonary Games","0","0","7","0","0.61","0.61","0.09","0.13","-44.4","0.30","0.16","150","0.31","2017-03-24","477740"
"Battle Brothers","0","0","7","0","0.47","0.47","0.07","0.06","14.3","0.08","0.07","216","0.24","2017-03-24","365360"
"Quern - Undying Thoughts","0","0","8","0","0.62","0.62","0.08","0.08","0.0","0.21","0.26","94","0.28","2017-03-24","512790"
"The Fishing Club 3D","0","0","14","0","0.93","0.93","0.07","0.07","0.0","0.23","0.23","32","0.43","2017-03-24","522230"
"Molemen Must Die!","0","0","6","0","0.44","0.44","0.07","0.04","42.9","0.18","0.03","41","0.18","2017-03-24","602120"
"HORROR OF THE DEEP","0","0","13","0","1.46","1.46","0.11","0.24","-118.2","2.27","3.27","26","0.67","2017-03-23","567270"
"Western FPS","0","0","10","0","0.36","0.36","0.04","0.02","50.0","0.03","0.03","451","0.17","2017-03-23","603370"
"PippiStory","0","0","5","0","0.27","0.27","0.05","0.03","40.0","0.03","0.03","211","0.13","2017-03-23","605530"
"Verdict Guilty - 유죄 평결","0","0","8","0","0.54","0.54","0.07","0.04","42.9","0.31","0.03","35","0.24","2017-03-23","449210"
"Fallen","0","0","5","0","0.41","0.41","0.08","0.04","50.0","0.20","0.03","34","0.21","2017-03-23","570890"
"Corroded","0","0","8","0","0.90","0.90","0.11","0.05","54.5","2.61","0.26","13","0.38","2017-03-23","446030"
"The Franz Kafka Videogame","0","0","6","0","0.37","0.37","0.06","0.04","33.3","0.11","0.21","55","0.16","2017-03-23","392280"
"Algotica Iterations","0","0","5","0","0.71","0.71","0.14","0.19","-35.7","0.05","1.22","56","0.37","2017-03-23","593330"
"Broccoli Bob","0","0","7","0","0.29","0.29","0.04","0.03","25.0","0.03","0.03","2173","0.14","2017-03-23","604140"
"Pale Moon Crisis","0","0","6","0","2.27","2.27","0.38","N/A","0.0","0.93","6.98","26","0.99","2017-03-23","574860"
"A Room Beyond","0","0","7","0","4.29","4.29","0.61","N/A","0.0","104.37","8.03","10","2.12","2017-03-22","454330"
"NightZ","0","0","15","0","0.46","0.46","0.03","0.04","-33.3","0.03","0.03","2097","0.21","2017-03-22","548480"
"Dr. Spacezoo","0","0","10","0","2.31","2.31","0.23","N/A","0.0","0.00","0.00","3","0.80","2017-03-22","371380"
"Tower Defense - Fantasy Tower Game","0","0","6","0","1.23","1.23","0.20","N/A","0.0","0.74","0.78","14","0.52","2017-03-22","599900"
"Cyberline Racing","0","0","6","0","0.44","0.44","0.07","0.07","0.0","0.46","0.30","27","0.18","2017-03-22","514460"
"Castle Torgeath","0","0","8","0","0.42","0.42","0.05","0.03","40.0","0.09","0.07","52","0.17","2017-03-21","431870"
"Neverwinter","0","0","8","0","0.60","0.60","0.08","0.05","37.5","0.05","0.10","206","0.28","2017-03-21","109600"
"Toukiden 2","0","0","9","0","0.84","0.84","0.09","0.12","-33.3","0.29","0.98","96","0.39","2017-03-21","551730"
"Peace, Death!","0","0","9","0","0.72","0.72","0.08","0.06","25.0","0.62","0.06","75","0.35","2017-03-21","588690"
"Trianguluv","0","0","5","0","0.39","0.39","0.08","0.05","37.5","0.07","0.03","218","0.21","2017-03-21","601930"
"DYSTORIA","0","0","7","0","0.92","0.92","0.13","0.09","30.8","2.19","0.99","15","0.45","2017-03-20","516580"
"Sumoman","0","0","5","0","0.74","0.74","0.15","0.16","-6.7","0.06","0.05","51","0.39","2017-03-20","552970"
"The Crow's Eye","0","0","5","0","0.44","0.44","0.09","0.10","-11.1","0.37","0.06","34","0.23","2017-03-20","449510"
"Crisis in the Kremlin","0","0","6","0","0.26","0.26","0.04","0.03","25.0","0.03","0.07","3804","0.10","2017-03-20","599750"
"The Cat Games","0","0","5","0","0.90","0.90","0.18","0.18","0.0","0.57","0.41","66","0.47","2017-03-20","603260"
"You... and who else?","0","0","10","0","0.67","0.67","0.07","N/A","0.0","0.10","0.46","25","0.30","2017-03-19","459640"
"Chess3D","0","0","6","0","1.12","1.12","0.19","N/A","0.0","0.78","0.81","66","0.50","2017-03-19","599670"
"Lock's Quest","0","0","8","0","1.11","1.11","0.14","0.13","7.1","1.92","3.00","21","0.49","2017-03-19","490080"
"Your Star","0","0","6","0","1.71","1.71","0.29","N/A","0.0","1.15","3.65","20","0.76","2017-03-18","520080"
"Adventures of Abrix","0","0","5","0","0.41","0.41","0.08","0.05","37.5","0.72","0.03","56","0.21","2017-03-18","576380"
"Evil","0","0","5","0","0.49","0.49","0.10","0.05","50.0","0.03","0.03","396","0.26","2017-03-18","594640"
"ROTii","0","0","5","0","0.25","0.25","0.05","0.05","0.0","0.03","0.03","1943","0.13","2017-03-18","603220"
"Trolley Gold","0","0","6","0","0.30","0.30","0.05","0.02","60.0","0.03","0.03","171","0.13","2017-03-18","498320"
"A Foretold Affair","0","0","8","0","0.53","0.53","0.07","0.04","42.9","0.08","0.14","36","0.24","2017-03-18","586670"
"Darkarta: A Broken Heart's Quest Collector's Edition","0","0","10","0","0.53","0.53","0.05","0.04","20.0","0.14","0.13","85","0.22","2017-03-18","601530"
"Lemuria: Lost in Space","0","0","5","0","0.33","0.33","0.07","0.10","-42.9","0.28","0.03","50","0.18","2017-03-18","563250"
"Ninja Avenger Dragon Blade","0","0","5","0","2.10","2.10","0.42","0.67","-59.5","1.25","0.29","15","1.10","2017-03-17","603790"
"Cat Goes Platform","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","360","0.13","2017-03-17","567250"
"Ascender","0","0","6","0","0.48","0.48","0.08","0.06","25.0","0.80","0.03","25","0.21","2017-03-17","598230"
"Domina","0","0","6","0","0.28","0.28","0.05","0.03","40.0","0.05","0.05","247","0.13","2017-03-17","535230"
"Eldritch Hunter","0","0","5","0","0.40","0.40","0.08","0.05","37.5","0.24","0.09","49","0.21","2017-03-17","514810"
"Detective Noir","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","428","0.13","2017-03-17","586480"
"All Alone: VR","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","153","0.13","2017-03-17","604830"
"M.A.C.E.","0","0","10","0","0.53","0.53","0.05","0.04","20.0","0.09","0.03","31","0.22","2017-03-17","555280"
"Multishop Tycoon Deluxe","0","0","7","0","0.28","0.28","0.04","0.03","25.0","0.03","0.03","2700","0.14","2017-03-17","568780"
"NieR:Automata™","0","0","9","0","1.02","1.02","0.11","0.10","9.1","0.06","0.11","823","0.48","2017-03-17","524220"
"The Last Patient","0","0","5","0","0.30","0.30","0.06","0.11","-83.3","0.36","0.03","39","0.16","2017-03-17","594160"
"Lifeline","0","0","8","0","1.18","1.18","0.15","0.22","-46.7","0.68","2.38","30","0.52","2017-03-17","585290"
"Last Tale","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","219","0.13","2017-03-17","608560"
"Yozora Rhapsody","0","0","5","0","0.29","0.29","0.06","0.05","16.7","0.03","0.07","1172","0.16","2017-03-17","569210"
"100ft Robot Golf","0","0","6","0","0.49","0.49","0.08","1.92","-2,300.0","0.83","0.18","47","0.21","2017-03-16","368000"
"The Keep","0","0","9","0","0.51","0.51","0.06","0.05","16.7","0.11","0.05","50","0.26","2017-03-16","317370"
"D: The Game","0","0","5","0","0.65","0.65","0.13","0.09","30.8","0.35","0.05","17","0.34","2017-03-16","510590"
"Shrouded in Sanity","0","0","7","0","0.41","0.41","0.06","0.05","16.7","0.15","0.04","37","0.21","2017-03-16","444590"
"Virtual Rides 3","0","0","10","0","1.13","1.13","0.11","0.21","-90.9","37.54","1.26","36","0.48","2017-03-16","515260"
"Panzer Panic VR","0","0","6","0","0.62","0.62","0.10","0.20","-100.0","0.87","1.27","14","0.26","2017-03-16","589170"
"Pain Train 2","0","0","12","0","0.57","0.57","0.05","0.03","40.0","0.05","0.03","889","0.26","2017-03-16","603890"
"Bootombaa","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","702","0.13","2017-03-16","605910"
"SENRAN KAGURA ESTIVAL VERSUS","0","0","6","0","0.79","0.79","0.13","0.13","0.0","0.06","0.15","136","0.34","2017-03-16","502800"
"LEAVES - The Return","0","0","7","0","0.40","0.40","0.06","0.08","-33.3","0.16","0.06","55","0.21","2017-03-16","569810"
"Soul Saber 2","0","0","6","0","0.39","0.39","0.07","0.16","-128.6","0.15","0.09","60","0.18","2017-03-16","581230"
"Heroes of Dire","0","0","5","0","0.74","0.74","0.15","N/A","0.0","2.33","0.08","29","0.39","2017-03-16","509560"
"CHAOS CODE -NEW SIGN OF CATASTROPHE-","0","0","10","0","0.93","0.93","0.09","0.11","-22.2","0.26","2.26","28","0.39","2017-03-16","536560"
"Tacopocalypse","0","0","5","0","0.47","0.47","0.09","0.08","11.1","1.92","0.38","25","0.23","2017-03-16","416530"
"Water Heroes: A Game for Change","0","0","5","0","0.58","0.58","0.12","0.08","33.3","3.56","0.72","15","0.31","2017-03-15","530010"
"上帝之城 I：监狱帝国 [City of God I - Prison Empire]","0","0","13","0","1.32","1.32","0.10","0.08","20.0","0.67","3.40","51","0.61","2017-03-15","466860"
"Space Impact Glitch","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","265","0.13","2017-03-15","580990"
"64.0","0","0","6","0","0.50","0.50","0.08","0.05","37.5","1.25","0.04","67","0.21","2017-03-15","578850"
"CONTRACTED","0","0","5","0","0.51","0.51","0.10","0.08","20.0","0.11","0.23","28","0.26","2017-03-15","600330"
